Period,CELLID,STAGE,COND,RBOT,BOUNDNAME
1,"(0, 388, 612)",1784.0,590.5905,1783.9,jimmy
1,"(0, 389, 612)",1784.0,590.5905,1783.9,jimmy
1,"(0, 390, 612)",1784.0,243.876,1783.9,jimmy
1,"(0, 432, 612)",1778.0,584.1265,1777.9,jimmy
1,"(0, 433, 612)",1776.0,591.766,1775.9,jimmy
1,"(0, 434, 612)",1777.0,591.766,1776.9,jimmy
1,"(0, 435, 612)",1776.0,591.766,1775.9,jimmy
1,"(0, 436, 612)",1775.0,786.279,1774.9,jimmy
1,"(0, 390, 611)",1785.0,346.715,1784.9,jimmy
1,"(0, 391, 611)",1784.0,595.292,1783.9,jimmy
1,"(0, 392, 611)",1783.0,598.818,1782.9,jimmy
1,"(0, 393, 611)",1784.0,598.818,1783.9,jimmy
1,"(0, 394, 611)",1784.0,599.993,1783.9,jimmy
1,"(0, 395, 611)",1786.0,331.73,1785.9,jimmy
1,"(0, 418, 611)",1777.0,2.3505,1776.9,jimmy
1,"(0, 419, 611)",1777.0,632.608,1776.9,jimmy
1,"(0, 420, 611)",1777.0,372.8655,1776.9,jimmy
1,"(0, 430, 611)",1778.0,632.608,1777.9,jimmy
1,"(0, 431, 611)",1777.0,658.4645,1776.9,jimmy
1,"(0, 432, 611)",1776.0,14.3975,1775.9,jimmy
1,"(0, 436, 611)",1775.0,83.153,1774.9,jimmy
1,"(0, 437, 611)",1774.0,530.65,1773.9,jimmy
1,"(0, 395, 610)",1782.0,297.646,1781.9,jimmy
1,"(0, 396, 610)",1783.0,629.376,1782.9,jimmy
1,"(0, 397, 610)",1786.0,518.897,1785.9,jimmy
1,"(0, 417, 610)",1777.0,618.2105,1776.9,jimmy
1,"(0, 418, 610)",1777.0,627.025,1776.9,jimmy
1,"(0, 420, 610)",1777.0,284.7175,1776.9,jimmy
1,"(0, 421, 610)",1777.0,699.894,1776.9,jimmy
1,"(0, 422, 610)",1778.0,141.3305,1777.9,jimmy
1,"(0, 428, 610)",1777.0,594.998,1776.9,jimmy
1,"(0, 429, 610)",1776.0,658.4645,1775.9,jimmy
1,"(0, 430, 610)",1776.0,25.8565,1775.9,jimmy
1,"(0, 437, 610)",1774.0,587.9465,1773.9,jimmy
1,"(0, 397, 609)",1782.0,207.1475,1781.9,jimmy
1,"(0, 398, 609)",1783.0,638.4845,1782.9,jimmy
1,"(0, 415, 609)",1778.0,42.605,1777.9,jimmy
1,"(0, 416, 609)",1777.0,761.3035,1776.9,jimmy
1,"(0, 417, 609)",1777.0,121.35,1776.9,jimmy
1,"(0, 422, 609)",1776.0,602.344,1775.9,jimmy
1,"(0, 423, 609)",1778.0,364.6385,1777.9,jimmy
1,"(0, 426, 609)",1777.0,496.5665,1776.9,jimmy
1,"(0, 427, 609)",1776.0,668.161,1775.9,jimmy
1,"(0, 428, 609)",1776.0,71.4,1775.9,jimmy
1,"(0, 437, 609)",1774.0,589.4155,1773.9,jimmy
1,"(0, 398, 608)",1784.0,179.234,1783.9,jimmy
1,"(0, 399, 608)",1781.0,704.3015,1780.9,jimmy
1,"(0, 414, 608)",1778.0,319.389,1777.9,jimmy
1,"(0, 415, 608)",1778.0,715.7605,1777.9,jimmy
1,"(0, 423, 608)",1778.0,357.8805,1777.9,jimmy
1,"(0, 424, 608)",1776.0,684.3215,1775.9,jimmy
